Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
22281263_LU0003_LU0003_LXEUR,LU0003 SMB 2020-PTB A1 ABS VAR 15.09.2054 LU0003_LXEUR_22281263_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,152.8021252,0.115595777,1,Other Securitization,0.125,19.10026565,0,0.054776305,1.046241976,0
4006451_LU0003_LU0003_LXEUR,LU0003 RALI 2006-QS8 A1 CMO FIX 6.000% 25.08.2036 LU0003_LXEUR_4006451_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,282.543196,0.068491535,1,Other Securitization,1,282.543196,0,0.054776305,15.47667227,0
1929144_LU0003_LU0003_LXEUR,LU0003 RASC 2005-KS1 M1 MBS VAR 25.02.2035 LU0003_LXEUR_1929144_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,134.5864525,0.068490932,1,Other Securitization,0.134,18.03458463,0,0.054776305,0.987867908,0
2057072_LU0003_LU0003_LXEUR,LU0003 CWALT 2006-OA1 2A1 CMO VAR 20.03.2046 LU0003_LXEUR_2057072_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,107.1162821,0.054795328,1,Other Securitization,1,107.1162821,0,0.054776305,5.867434138,0
6399439_LU0003_LU0003_LXEUR,LU0003 DBALT 2007-OA4 1A1A CMO VAR 25.08.2047 LU0003_LXEUR_6399439_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,143.0937371,0.062620787,1,Other Securitization,1,143.0937371,0,0.054776305,7.838146183,0
16974056,GNR 2011-H11 FA CMO VAR 20.03.2061_16974056,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,76.29505596,0.075079049,1,Other Securitization,1,76.29505596,0,0.054776305,4.179161253,0
17849961,FNR 2019-28 FJ CMO VAR 25.06.2059_17849961,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,554.7710933,0.10292209,1,Other Securitization,0.125,69.34638667,0,0.054776305,3.798538824,0
22927565,SMB 2017-B A2B ABS VAR 15.10.2035_22927565,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,212.2331497,0.050901449,1,Other Securitization,0.125,26.52914371,0,0.054776305,1.453168467,0
4553867_LU0003_LU0003_LXEUR,LU0003 GSR 2006-2F 2A13 CMO FIX 5.750% 25.02.2036 LU0003_LXEUR_4553867_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,248.177863,7.667527859,7.667527859,Other Securitization,1,248.177863,0,0.054776305,13.59426631,0
6983249_LU0003_LU0003_LXEUR,LU0003 PPSI 2004-WWF1 M5 MBS VAR 25.12.2034 LU0003_LXEUR_6983249_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,228.4426694,0.068491851,1,Other Securitization,1,228.4426694,0,0.054776305,12.51324533,0
