Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
23173555_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.850% 10.02.2027 LU0003_LXEUR_23173555_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,4689.581695,0.112328877,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
24139276_LU0003_LU0003_LXEUR,LU0003 EUROPEAN INVESTMENT BANK SRUNSEC REGS ZP6124819_IE00BDQZ6S97_USD LU0003_LXEUR_24139276_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,3608.770455,1.080345972,1.080345972,Supranational Bond,1,1.080345972,0,0,0,0,0,0.063252303,0,0
20350200,EUROPEAN INVESTMENT BANK REGS VAR 10.06.2022_20350200,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2177.63274,0.440887369,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
24139378_LU0003_LU0003_LXEUR,LU0003 EUROFIMA AX9662419_IE00BDQZ6S97_USD LU0003_LXEUR_24139378_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,251.3802728,0.191784592,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
23173554_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.650% 10.02.2026 LU0003_LXEUR_23173554_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,8896.394895,0.112328476,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
24501432,INTL FINANCE COR VAR 30.06.2023_24501432,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,152.0010107,1.491907545,1.491907545,Supranational Bond,1,1.491907545,0,0,0,0,0,0.063252303,0,0
17901012,INTER-AMERICAN DEVEL BK VAR 15.03.2022_17901012,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,80.04111243,0.20273792,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
14812095,EUROPEAN BK RECON & DEV GMTN VAR 11.05.2022_14812095,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,44.02204666,0.358801197,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
22857475,BANQUE OUEST AFRICAINE D REGS FIX 2.750% 22.01.2033_22857475,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,5372.771794,9.469823554,9.469823554,Supranational Bond,2,4.469823554,0,0,0,0,0,0.063252303,0,0
23173554_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.650% 10.02.2026 LU0003_LXEUR_23173554_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,4194.299575,0.112328476,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
5009193,EFSF EMTN FIX 1.875% 23.05.2023_5009193,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,1045474.091,1.373846824,1.373846824,Supranational Bond,1,1.373846824,0,0,0,0,0,0.063252303,0,0
22857475,BANQUE OUEST AFRICAINE D REGS FIX 2.750% 22.01.2033_22857475,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,11396.01469,9.469823554,9.469823554,Supranational Bond,2,4.469823554,0,0,0,0,0,0.063252303,0,0
23207413_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP MTN VAR 13.01.2023 LU0003_LXEUR_23207413_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2746.149059,1.033055703,1.033055703,Supranational Bond,1,1.033055703,0,0,0,0,0,0.063252303,0,0
17901012,INTER-AMERICAN DEVEL BK VAR 15.03.2022_17901012,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,169.7726477,0.20273792,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
23673151,INTER-AMERICAN DEVEL BK VAR 16.09.2022_23673151,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,512.0258705,0.708767615,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
19202938,EUROPEAN BK RECON & DEV GMTN VAR 19.08.2022_19202938,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,129.8297557,0.632061365,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
26192764_LU0003_LU0003_LXEUR,LU0003 EUROPEAN UNION BILL UNSEC BS2158258_IE00B5ZR2157_EUR LU0003_LXEUR_26192764_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,18.22149418,0.09589119,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
24501432,INTL FINANCE COR VAR 30.06.2023_24501432,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,322.4044902,1.491907545,1.491907545,Supranational Bond,1,1.491907545,0,0,0,0,0,0.063252303,0,0
14121289,EUROPEAN INVESTMENT BANK 144A VAR 19.01.2023_14121289,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,136.1929112,1.049492595,1.049492595,Supranational Bond,1,1.049492595,0,0,0,0,0,0.063252303,0,0
11976563,ASIAN DEVELOPMENT BANK GMTN FIX 2.000% 16.02.2022_11976563,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1902.20656,0.128768697,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
26192764_LU0003_LU0003_LXEUR,LU0003 EUROPEAN UNION BILL UNSEC BS2158258_IE00B5ZR2157_EUR LU0003_LXEUR_26192764_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,38.64902944,0.09589119,1,Supranational Bond,1,1,0,0,0,0,0,0.063252303,0,0
23207413_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP MTN VAR 13.01.2023 LU0003_LXEUR_23207413_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,5824.76908,1.033055703,1.033055703,Supranational Bond,1,1.033055703,0,0,0,0,0,0.063252303,0,0
