Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
15341920,TPMT 2018-3 A1 MBS FIX 3.750% 25.05.2058_15341920,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2859.999786,3.860501705,3.860501705,Type 1 Securitization,1,3.860501705,0.01,0,0.038605017,110.4103405,0,0.054776305,6.047870482,0
12488134,CCCIT 2017-A5 A5 ABS VAR 22.04.2026_12488134,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,217.3578336,0.064203664,1,Type 1 Securitization,1,1,0.01,0,0.01,2.173578336,0,0.054776305,0.11906059,0
1929090_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WCW2 M2 MBS VAR 25.07.2035 LU0003_LXEUR_1929090_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,138.536214,0.068497175,1,Type 1 Securitization,1,1,0.028,0,0.028,3.879013993,0,0.054776305,0.212478053,0
14504601,FN AL7183 MBS VAR 01.01.2036_14504601,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,120.4249001,0.155760862,1,Type 1 Securitization,1,1,0.01,0,0.01,1.204249001,0,0.054776305,0.065964311,0
6313452_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WCH1 M4 MBS VAR 25.01.2036 LU0003_LXEUR_6313452_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,228.6354385,0.068493597,1,Type 1 Securitization,1,1,0.016,0,0.016,3.658167016,0,0.054776305,0.200380872,0
6846432_LU0003_LU0003_LXEUR,LU0003 FFML 2005-FFH1 M1 MBS VAR 25.06.2036 LU0003_LXEUR_6846432_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,33.19112508,0.068495353,1,Type 1 Securitization,1,1,0.01,0,0.01,0.331911251,0,0.054776305,0.018180872,0
7051864_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH2 MV1 MBS VAR 25.01.2037 LU0003_LXEUR_7051864_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,353.2639909,0.066513287,1,Type 1 Securitization,1,1,0.028,0,0.028,9.891391746,0,0.054776305,0.541813891,0
7013364_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH3 A5 MBS VAR 25.03.2037 LU0003_LXEUR_7013364_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,121.2747436,0.062680773,1,Type 1 Securitization,1,1,0.028,0,0.028,3.395692821,0,0.054776305,0.186003506,0
16974894,TPMT 2017-5 A1 MBS VAR 25.02.2057_16974894,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,14.6489193,0.068343494,1,Type 1 Securitization,1,1,0.01,0,0.01,0.146489193,0,0.054776305,0.008024137,0
1928968_LU0003_LU0003_LXEUR,LU0003 MSAC 2006-WMC1 A2C MBS VAR 25.12.2035 LU0003_LXEUR_1928968_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,124.2289245,0.06849395,1,Type 1 Securitization,1,1,0.016,0,0.016,1.987662792,0,0.054776305,0.108876823,0
482236_LU0003_LU0003_LXEUR,LU0003 CFAB 2002-2 1A5 MBS STEP 6.333% 25.04.2032 LU0003_LXEUR_482236_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,127.2968379,0.068492493,1,Type 1 Securitization,1,1,0.028,0,0.028,3.56431146,0,0.054776305,0.195239812,0
4370375_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH5 A5 MBS VAR 25.06.2037 LU0003_LXEUR_4370375_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,320.2949441,0.062538795,1,Type 1 Securitization,1,1,0.012,0,0.012,3.843539329,0,0.054776305,0.210534882,0
6958102_LU0003_LU0003_LXEUR,LU0003 RAMP 2005-EFC5 M2 MBS VAR 25.10.2035 LU0003_LXEUR_6958102_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,0.590381258,0.077921472,1,Type 1 Securitization,1,1,0.01,0,0.01,0.005903813,0,0.054776305,0.000323389,0
22554298,FG G08831 MBS FIX 4.000% 01.08.2048_22554298,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,596.1221396,2.156733986,2.156733986,Type 1 Securitization,1,2.156733986,0.01,0,0.02156734,12.85676878,0,0.054776305,0.704246288,0
4948114_LU0003_LU0003_LXEUR,LU0003 CMLTI 2005-OPT4 M4 MBS VAR 25.07.2035 LU0003_LXEUR_4948114_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,57.09679446,0.068495261,1,Type 1 Securitization,1,1,0.016,0,0.016,0.913548711,0,0.054776305,0.050040823,0
6987699_LU0003_LU0003_LXEUR,LU0003 SAIL 2004-7 A7 MBS VAR 25.08.2034 LU0003_LXEUR_6987699_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,13.31141594,0.068493048,1,Type 1 Securitization,1,1,0.016,0,0.016,0.212982655,0,0.054776305,0.011666403,0
22554568,SAIL 2004-8 A1 MBS VAR 25.09.2034_22554568,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,170.2540011,0.068494897,1,Type 1 Securitization,1,1,0.012,0,0.012,2.043048013,0,0.054776305,0.111910621,0
4172303,LXS 2005-4 1A3 MBS VAR 25.10.2035_4172303,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,121.4803224,0.068493418,1,Type 1 Securitization,1,1,0.012,0,0.012,1.457763869,0,0.054776305,0.079850918,0
22554149,CWL 2005-15 2AV3 MBS VAR 25.04.2036_22554149,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,750.5155564,0.065678134,1,Type 1 Securitization,1,1,0.016,0,0.016,12.0082489,0,0.054776305,0.657767504,0
4766563_LU0003_LU0003_LXEUR,LU0003 AMSI 2005-R3 M4 MBS VAR 25.05.2035 LU0003_LXEUR_4766563_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,558.7134576,0.068493821,1,Type 1 Securitization,1,1,0.016,0,0.016,8.939415321,0,0.054776305,0.48966814,0
1928277_LU0003_LU0003_LXEUR,LU0003 CWL 2006-1 AV3 MBS VAR 25.07.2036 LU0003_LXEUR_1928277_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,20.79685957,0.068493229,1,Type 1 Securitization,1,1,0.016,0,0.016,0.332749753,0,0.054776305,0.018226802,0
1929112_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WHQ3 M4 MBS VAR 25.06.2035 LU0003_LXEUR_1929112_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,77.84024687,0.068497821,1,Type 1 Securitization,1,1,0.016,0,0.016,1.24544395,0,0.054776305,0.068220818,0
