Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
24139378_LU0003_LU0003_LXEUR,LU0003 EUROFIMA AX9662419_IE00BDQZ6S97_USD LU0003_LXEUR_24139378_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,162.2485876,0.44369551,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
23207413_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP MTN VAR 13.01.2023 LU0003_LXEUR_23207413_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2960.943252,1.285855903,1.285855903,Supranational Bond,1,1.285855903,0,0,0,0,0,0.054776305,0,0
7480978,EUROPEAN INVESTMENT BANK FIX 2.125% 15.10.2021_7480978,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,276.6569693,0.041094608,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
14121289,EUROPEAN INVESTMENT BANK 144A VAR 19.01.2023_14121289,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,186.5439431,1.302304171,1.302304171,Supranational Bond,1,1.302304171,0,0,0,0,0,0.054776305,0,0
23173555_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.850% 10.02.2027 LU0003_LXEUR_23173555_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,3901.725442,0.112327957,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
24139378_LU0003_LU0003_LXEUR,LU0003 EUROFIMA AX9662419_IE00BDQZ6S97_USD LU0003_LXEUR_24139378_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,344.1402981,0.44369551,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
23173554_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.650% 10.02.2026 LU0003_LXEUR_23173554_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,3994.581419,0.112330773,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
5009193,EFSF EMTN FIX 1.875% 23.05.2023_5009193,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,1047158.051,1.625930489,1.625930489,Supranational Bond,1,1.625930489,0,0,0,0,0,0.054776305,0,0
23673151,INTER-AMERICAN DEVEL BK VAR 16.09.2022_23673151,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,701.3549464,0.96046094,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
21244054,EUROPEAN INVESTMENT BANK 144A VAR 10.06.2022_21244054,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2508.753821,0.692509063,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
23173554_LU0003_LU0003_LXEUR,LU0003 INTL BK RECON & DEVELOP GDIF FIX 0.650% 10.02.2026 LU0003_LXEUR_23173554_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,8472.779093,0.112330773,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
20350200,EUROPEAN INVESTMENT BANK REGS VAR 10.06.2022_20350200,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1257.24805,0.692509063,1,Supranational Bond,1,1,0,0,0,0,0,0.054776305,0,0
24501432,INTL FINANCE COR VAR 30.06.2023_24501432,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,208.0984853,1.745363092,1.745363092,Supranational Bond,1,1.745363092,0,0,0,0,0,0.054776305,0,0
