Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
309831,FRANCE O.A.T. STRIP ZERO 25.04.2029_309831,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2487249.947,7.327086928,7.327086928,EEA Sovereign Bond,2,2.327086928,0,0,0,0,0,0.133433171,0,0
262358,BUNDESREPUB. DEUTSCHLAND 03 FIX 4.750% 04.07.2034_262358,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,2777713.604,10.24645083,10.24645083,EEA Sovereign Bond,3,0.246450828,0,0,0,0,0,0.133433171,0,0
499095,NETHERLANDS GOVERNMENT FIX 3.750% 15.01.2023_499095,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,2163717.804,1.006442743,1.006442743,EEA Sovereign Bond,1,1.006442743,0,0,0,0,0,0.133433171,0,0
4513159,ITALY BTPS HYBRID ZERO 01.11.2022_4513159,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,BBB,3,1003275.681,0.835626402,1,EEA Sovereign Bond,1,1,0,0,0,0,0,0.133433171,0,0
629102,BUNDESREPUB. DEUTSCHLAND 2007 FIX 4.250% 04.07.2039_629102,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,7828563.171,13.85153919,13.85153919,EEA Sovereign Bond,3,3.851539186,0,0,0,0,0,0.133433171,0,0
2457733,BELGIUM BE-STRIP MR35 ZERO 28.03.2031_2457733,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,3205377.464,9.257004474,9.257004474,EEA Sovereign Bond,2,4.257004474,0,0,0,0,0,0.133433171,0,0
2373826,BELGIUM BE-STRIP MR35 ZERO 28.03.2030_2373826,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,5997779.846,8.253175957,8.253175957,EEA Sovereign Bond,2,3.253175957,0,0,0,0,0,0.133433171,0,0
155342,BELGIUM BE-STRIP MR28 ZERO 28.03.2023_155342,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,4028399.963,1.238388392,1.238388392,EEA Sovereign Bond,1,1.238388392,0,0,0,0,0,0.133433171,0,0
3883660,BUNDESREPUB. DEUTSCHLAND FIX 2.500% 04.07.2044_3883660,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,1568948.822,18.53081369,18.53081369,EEA Sovereign Bond,4,3.530813693,0,0,0,0,0,0.133433171,0,0
1043463,BUNDESREPUB. DEUTSCHLAND 08 FIX 4.750% 04.07.2040_1043463,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,6609215.79,14.2644049,14.2644049,EEA Sovereign Bond,3,4.264404897,0,0,0,0,0,0.133433171,0,0
2265534,BELGIUM KINGDOM 60 FIX 4.250% 28.03.2041_2265534,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,1677169.8,14.54513488,14.54513488,EEA Sovereign Bond,3,4.545134877,0,0,0,0,0,0.133433171,0,0
356679,BELGIUM KINGDOM 44 FIX 5.000% 28.03.2035_356679,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,1803133.408,10.47612988,10.47612988,EEA Sovereign Bond,3,0.476129882,0,0,0,0,0,0.133433171,0,0
3824603,NETHERLANDS GOVERNMENT FIX 2.500% 15.01.2033_3824603,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,10891209.59,9.780383415,9.780383415,EEA Sovereign Bond,2,4.780383415,0,0,0,0,0,0.133433171,0,0
527870,BELGIUM BE-STRIP MR28 ZERO 28.03.2024_527870,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,5059500.122,2.24128444,2.24128444,EEA Sovereign Bond,1,2.24128444,0,0,0,0,0,0.133433171,0,0
2402967,BELGIUM BE-STRIP MR41 ZERO 28.03.2036_2402967,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,925400.0092,14.29758332,14.29758332,EEA Sovereign Bond,3,4.297583319,0,0,0,0,0,0.133433171,0,0
357823,BELGIUM BE-STRIP MR28 ZERO 28.03.2026_357823,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,4071199.951,4.242368432,4.242368432,EEA Sovereign Bond,1,4.242368432,0,0,0,0,0,0.133433171,0,0
2319641,BELGIUM BE-STRIP MR35 ZERO 28.03.2035_2319641,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2821859.894,13.28534822,13.28534822,EEA Sovereign Bond,3,3.285348223,0,0,0,0,0,0.133433171,0,0
2402964,BELGIUM BE-STRIP MR35 ZERO 28.03.2032_2402964,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2940780.029,10.26451489,10.26451489,EEA Sovereign Bond,3,0.264514887,0,0,0,0,0,0.133433171,0,0
2457732,BELGIUM BE-STRIP MR35 ZERO 28.03.2029_2457732,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,4032319.946,7.250172669,7.250172669,EEA Sovereign Bond,2,2.250172669,0,0,0,0,0,0.133433171,0,0
497663,BUONI POLIENNALI STRIP ZERO 01.08.2024_497663,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,BBB,3,995495.9869,2.586589762,2.586589762,EEA Sovereign Bond,1,2.586589762,0,0,0,0,0,0.133433171,0,0
421101,FRANCE O.A.T. STRIP ZERO 25.04.2026_421101,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,3035099.945,4.319152126,4.319152126,EEA Sovereign Bond,1,4.319152126,0,0,0,0,0,0.133433171,0,0
147412,NETHERLANDS GOVERNMENT FIX 7.500% 15.01.2023_147412,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,578158.9127,0.976237999,1,EEA Sovereign Bond,1,1,0,0,0,0,0,0.133433171,0,0
517699,BELGIUM BE-STRIP MR28 ZERO 28.03.2027_517699,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,4075599.976,5.243495921,5.243495921,EEA Sovereign Bond,2,0.243495921,0,0,0,0,0,0.133433171,0,0
404965,BUNDESREPUB. DEUTSCHLAND 05 FIX 4.000% 04.01.2037_404965,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,4977334.9,12.11574857,12.11574857,EEA Sovereign Bond,3,2.115748568,0,0,0,0,0,0.133433171,0,0
477552,BUNDESREPUB. DEUTSCHLAND ZERO 04.07.2028 DE0001143311_477552,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,2546725.082,6.51693125,6.51693125,EEA Sovereign Bond,2,1.51693125,0,0,0,0,0,0.133433171,0,0
421102,FRANCE O.A.T. STRIP ZERO 25.04.2025_421102,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2023999.939,3.318417314,3.318417314,EEA Sovereign Bond,1,3.318417314,0,0,0,0,0,0.133433171,0,0
961384,BUONI POLIENNALI DEL TES FIX 4.750% 01.08.2023_961384,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,BBB,3,1649248.352,1.518695123,1.518695123,EEA Sovereign Bond,1,1.518695123,0,0,0,0,0,0.133433171,0,0
357822,BELGIUM BE-STRIP MR28 ZERO 28.03.2025_357822,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,6085199.89,3.241665251,3.241665251,EEA Sovereign Bond,1,3.241665251,0,0,0,0,0,0.133433171,0,0
2321380,NETHERLANDS GOVERNMENT FIX 3.750% 15.01.2042_2321380,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,6345066.454,15.58723179,15.58723179,EEA Sovereign Bond,4,0.587231788,0,0,0,0,0,0.133433171,0,0
2402966,BELGIUM BE-STRIP MR35 ZERO 28.03.2034_2402966,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,3822799.988,12.27721022,12.27721022,EEA Sovereign Bond,3,2.277210223,0,0,0,0,0,0.133433171,0,0
8452279,NETHERLAND GOVT STRIP JA36 ZERO 15.01.2036_8452279,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,673610.0235,14.09557745,14.09557745,EEA Sovereign Bond,3,4.095577449,0,0,0,0,0,0.133433171,0,0
1753192,BELGIUM BE-STRIP MR28 ZERO 28.03.2028_1753192,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,4071359.863,6.247893716,6.247893716,EEA Sovereign Bond,2,1.247893716,0,0,0,0,0,0.133433171,0,0
147347,BELGIUM KINGDOM 31 FIX 5.500% 28.03.2028_147347,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,703940.2008,5.416457807,5.416457807,EEA Sovereign Bond,2,0.416457807,0,0,0,0,0,0.133433171,0,0
422157,NETHERLANDS GOVERNMENT FIX 4.000% 15.01.2037_422157,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AAA,0,5679026.395,12.09388408,12.09388408,EEA Sovereign Bond,3,2.093884078,0,0,0,0,0,0.133433171,0,0
