Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
16973990,NRW.BANK EMTN VAR 01.02.2022_16973990,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,2279.300299,0.339572452,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,25.07230329,0,0.054776305,1.373368131,0
24395316_LU0003_LU0003_LXEUR,LU0003 ERSTE ABWICKLUNGSANSTALT AX4142854_IE00B67B7N93_USD LU0003_LXEUR_24395316_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,280.3307444,0.42466424,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,3.083638188,0,0.054776305,0.168910306,0
16973990,NRW.BANK EMTN VAR 01.02.2022_16973990,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,1074.600261,0.339572452,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,11.82060287,0,0.054776305,0.647488948,0
24748907_LU0003_LU0003_LXEUR,LU0003 GEMEINSAME NRW KOMMUNEN EK9464810_IE00B5ZR2157_EUR LU0003_LXEUR_24748907_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,5.140832345,0.712334598,1,Local Authority Bond,1,1,0,0,0,0,0,0.054776305,0,0
24748907_LU0003_LU0003_LXEUR,LU0003 GEMEINSAME NRW KOMMUNEN EK9464810_IE00B5ZR2157_EUR LU0003_LXEUR_24748907_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,2.423699838,0.712334598,1,Local Authority Bond,1,1,0,0,0,0,0,0.054776305,0,0
640472,LAND BERLIN 226 FIX 4.250% 25.04.2022_640472,RC630,RC630,,LU0003_LXCLA,PROFIT_PART,AA,1,2090434.57,0.567129386,1,Local Authority Bond,1,1,0,0,0,0,0,0.141442771,0,0
24395316_LU0003_LU0003_LXEUR,LU0003 ERSTE ABWICKLUNGSANSTALT AX4142854_IE00B67B7N93_USD LU0003_LXEUR_24395316_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,2,132.1648978,0.42466424,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,1.453813876,0,0.054776305,0.079634552,0
22281184,KOMMUNINVEST I SVERIGE REGS FIX 0.125% 20.07.2022_22281184,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,580.7890483,0.802430647,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,6.388679531,0,0.054776305,0.349948258,0
22281184,KOMMUNINVEST I SVERIGE REGS FIX 0.125% 20.07.2022_22281184,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,2,273.8191466,0.802430647,1,Unlisted Local Authority Bond,1,1,0.011,0,0.011,3.012010613,0,0.054776305,0.164986812,0
