Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
22623659,INABS 2006-B 2A3 MBS VAR 25.06.2036_22623659,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,209.019188,0.068495177,1,Type 1 Securitization,1,1,0.028,0,0.028,5.852537264,0,0.063252303,0.370186462,0
6846432_LU0003_LU0003_LXEUR,LU0003 FFML 2005-FFH1 M1 MBS VAR 25.06.2036 LU0003_LXEUR_6846432_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,3.627296041,0.068490396,1,Type 1 Securitization,1,1,0.01,0,0.01,0.03627296,0,0.063252303,0.002294348,0
4165718_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WHQ1 M4 ABS FLOAT 25.03.35 LU0003_LXEUR_4165718_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,93.93853916,0.068494824,1,Type 1 Securitization,1,1,0.016,0,0.016,1.503016627,0,0.063252303,0.095069264,0
482623_LU0003_LU0003_LXEUR,LU0003 CWL 2005-4 AF6 MBS FIX 4.740% 25.10.2035 LU0003_LXEUR_482623_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1.560369197,0.068490331,1,Type 1 Securitization,1,1,0.01,0,0.01,0.015603692,0,0.063252303,0.000986969,0
4766563_LU0003_LU0003_LXEUR,LU0003 AMSI 2005-R3 M4 MBS VAR 25.05.2035 LU0003_LXEUR_4766563_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,1303.848953,0.068490079,1,Type 1 Securitization,1,1,0.016,0,0.016,20.86158326,0,0.063252303,1.319543193,0
22554243,SASC 2007-BC1 A4 MBS VAR 25.02.2037_22554243,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,195.2030982,0.064081761,1,Type 1 Securitization,1,1,0.016,0,0.016,3.123249572,0,0.063252303,0.197552729,0
6181983_LU0003_LU0003_LXEUR,LU0003 AMSI 2004-R9 M3 MBS VAR 25.10.2034 LU0003_LXEUR_6181983_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,258.4478913,0.068493744,1,Type 1 Securitization,1,1,0.028,0,0.028,7.236540957,0,0.063252303,0.457727884,0
6181983_LU0003_LU0003_LXEUR,LU0003 AMSI 2004-R9 M3 MBS VAR 25.10.2034 LU0003_LXEUR_6181983_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,121.847995,0.068493744,1,Type 1 Securitization,1,1,0.028,0,0.028,3.41174386,0,0.063252303,0.215800658,0
1921847_LU0003_LU0003_LXEUR,LU0003 SAIL 2004-8 M1 MBS VAR 25.09.2034 LU0003_LXEUR_1921847_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,70.92441086,0.068496583,1,Type 1 Securitization,1,1,0.028,0,0.028,1.985883504,0,0.063252303,0.125611706,0
1928968_LU0003_LU0003_LXEUR,LU0003 MSAC 2006-WMC1 A2C MBS VAR 25.12.2035 LU0003_LXEUR_1928968_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,130.8189694,0.068491337,1,Type 1 Securitization,1,1,0.016,0,0.016,2.093103511,0,0.063252303,0.132393618,0
