Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
4085814,MLMI 2006-A3 6A1 CMO VAR 25.05.2036_4085814,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,247.6850553,0.068495961,1,Other Securitization,1,247.6850553,0,0.063252303,15.66665026,0
22623647_LU0003_LU0003_LXEUR,LU0003 UNIQUE PUB FINANCE CO A4 9087779C1_IE00B0C18065_GBP LU0003_LXEUR_22623647_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,446.0814721,4.818299189,4.818299189,Other Securitization,1,446.0814721,0,0.063252303,28.2156806,0
16974680,GNR 2017-H14 FD CMO VAR 20.06.2067_16974680,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,109.9595407,0.08404302,1,Other Securitization,1,109.9595407,0,0.063252303,6.955194229,0
4582189_LU0003_LU0003_LXEUR,LU0003 RALI 2007-QA2 A1 CMO FLOAT 25.02.37 LU0003_LXEUR_4582189_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,191.6360051,0.068491385,1,Other Securitization,1,191.6360051,0,0.063252303,12.12141873,0
1551570,CHASE 2007-A1 11M1 CMO FLOAT 25.03.37_1551570,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,6.772074335,0.06849312,1,Other Securitization,1,6.772074335,0,0.063252303,0.4283493,0
465006_LU0003_LU0003_LXEUR,LU0003 WAMU 2005-AR13 A1A1 CMO FLOAT 25.10.45 LU0003_LXEUR_465006_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,22.24368254,0.068495463,1,Other Securitization,0.197,4.382005461,0,0.063252303,0.277171939,0
4913968_LU0003_LU0003_LXEUR,LU0003 CWALT 2007-25 1A2 CMO FIX 6.500% 25.11.2037 LU0003_LXEUR_4913968_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,753.8969659,0.068493173,1,Other Securitization,1,753.8969659,0,0.063252303,47.6857196,0
16974089_LU0003_LU0003_LXEUR,LU0003 MVW 2015-10A AR CDO VAR 13.10.2027 LU0003_LXEUR_16974089_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1152.261856,0.03561873,1,Other Securitization,0.125,144.032732,0,0.063252303,9.11040206,0
22623686,MSDWC 2003-NC1 M1 MBS VAR 25.11.2032_22623686,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,144.5417608,0.068491082,1,Other Securitization,0.197,28.47472688,0,0.063252303,1.801092063,0
839686_LU0003_LU0003_LXEUR,LU0003 MSM 2007-10XS A1 MBS FIX 6.000% 25.02.2037 LU0003_LXEUR_839686_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,D,6,66.66150095,0.228742808,1,Other Securitization,1,66.66150095,0,0.063252303,4.216493482,0
1928351_LU0003_LU0003_LXEUR,LU0003 CWL 2006-24 2A3 MBS VAR 25.06.2047 LU0003_LXEUR_1928351_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,D,6,168.4263708,0.06705721,1,Other Securitization,1,168.4263708,0,0.063252303,10.6533559,0
14504618,FHR 3876 DF CMO VAR 15.06.2041_14504618,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,475.8598996,0.070590652,1,Other Securitization,0.125,59.48248745,0,0.063252303,3.762404341,0
4067238_LU0003_LU0003_LXEUR,LU0003 WFALT 2007-PA3 1A1 CMO FIX 5.750% 25.07.2037 LU0003_LXEUR_4067238_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,D,6,86.58806904,0.068495937,1,Other Securitization,1,86.58806904,0,0.063252303,5.476894811,0
11248835,MSBAM 2016-C30 ASB MBS FIX 2.729% 15.09.2049_11248835,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1415.765316,3.605611785,3.605611785,Other Securitization,0.125,638.0875135,0,0.063252303,40.36050498,0
23914520_LU0003_LU0003_LXEUR,LU0003 VIBR 2017-7A A1R CDO VAR 15.09.2030 LU0003_LXEUR_23914520_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,2740.615782,0.055420499,1,Other Securitization,0.125,342.5769727,0,0.063252303,21.66878261,0
16974057,GNR 2012-H29 SA CMO VAR 20.10.2062_16974057,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,96.68651434,0.091442597,1,Other Securitization,1,96.68651434,0,0.063252303,6.115644737,0
24395159_LU0003_LU0003_LXEUR,LU0003 DEN16 2018-1A A CDO VAR 20.01.2030 LU0003_LXEUR_24395159_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,651.611722,0.05479603,1,Other Securitization,0.125,81.45146525,0,0.063252303,5.15199279,0
6882366_LU0003_LU0003_LXEUR,LU0003 SABR 2006-HE1 A2B MBS VAR 25.07.2036 LU0003_LXEUR_6882366_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,164.2412418,0.068493339,1,Other Securitization,1,164.2412418,0,0.063252303,10.38863685,0
19567733_LU0003_LU0003_LXEUR,LU0003 GREENE KING FINANCE PLC 3935069D4__GBP LU0003_LXEUR_19567733_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,383.47823,9.415235378,9.415235378,Other Securitization,1,383.47823,0,0.063252303,24.25588134,0
25428272_LU0003_LU0003_LXEUR,LU0003 STANDARD INDUSTRIES INC BL3683986_IE00B0C18065_USD LU0003_LXEUR_25428272_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,23233.6669,6.736589874,6.736589874,Other Securitization,1,23233.6669,0,0.063252303,1469.582947,0
