"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"13513713","AAA","AAA",4.542655982,4.749401347,0.037370018,0.03324581,"N","N",0.206745365000001,-0.004124208,"No Change in Rating","No Change in LT_Flag",0.00822646886492758,0.00700000012022568,-0.0012264687447019
"14504605","A","A",440.5159893,446.3989235,6.167223851,6.249584928,"N","N",5.88293420000002,0.0823610770000007,"No Change in Rating","No Change in LT_Flag",0.0140000000018161,0.0139999999977599,-4.05619982046801e-12
"17809766","AAA","AAA",9.10234455,9.495771058,0.063716412,0.066470398,"N","N",0.393426507999999,0.002753986,"No Change in Rating","No Change in LT_Flag",0.00700000001647927,0.00700000006255416,4.60748912980979e-11
"18946108","BB","BB",1974.1354385,1683.7991573,88.83609473,75.77096209,"N","N",-290.3362812,-13.06513264,"No Change in Rating","No Change in LT_Flag",0.0449999999987336,0.0450000000068298,8.09616956809478e-12
"19428963","NR","NR",533.1099613,586.9814816,15.99329884,17.609444443,"N","N",53.8715203,1.616145603,"No Change in Rating","No Change in LT_Flag",0.0300000000018758,0.0299999999914818,-1.03939391815633e-11
"19671746","AAA","AAA",16.773844622,17.505340529,0.155654549,0.131938677,"N","N",0.731495906999999,-0.023715872,"No Change in Rating","No Change in LT_Flag",0.00927959883423797,0.00753705286574834,-0.00174254596848963
"21834589","AA","AA",7.118922292,7.418881499,0.12576817,0.113996861,"N","N",0.299959207,-0.011771309,"No Change in Rating","No Change in LT_Flag",0.0176667429199689,0.0153657746137832,-0.00230096830618573
"24394874","A","A",6.318452547,5.935234877,1.040696069,0.97291279,"N","N",-0.38321767,-0.067783279,"No Change in Rating","No Change in LT_Flag",0.164707428165164,0.163921531356778,-0.000785896808385672
"24394886","NR","NR",12.616469905,11.861706975,4.59148073,4.305439178,"N","N",-0.754762930000002,-0.286041551999999,"No Change in Rating","No Change in LT_Flag",0.363927530012207,0.362969611968517,-0.000957918043690553
"24394902","A","A",57.70303876,54.19588822,9.504307279,8.883291359,"N","N",-3.50715054,-0.62101592,"No Change in Rating","No Change in LT_Flag",0.164710689129052,0.163910799338496,-0.000799889790555647
"24728975","A","A",4094.294251,3945.301971,57.32011951,55.2342276,"N","N",-148.99228,-2.08589191,"No Change in Rating","No Change in LT_Flag",0.013999999999023,0.0140000000015208,2.49776588301387e-12
"2511127","AAA","AAA",1040306.549,1039018.478,7282.145844,7273.129349,"N","N",-1288.071,-9.01649499999985,"No Change in Rating","No Change in LT_Flag",0.00700000000096125,0.00700000000288734,1.9260851594205e-12
"25700035","NA","AA",0,103.9806157,0,0.935825541,"NA","N",103.9806157,0.935825541,"Missing Asset ID","Missing Asset ID",0,0.00899999999711485,0.00899999999711485
"25887087","NA","BBB",0,9976.740172,0,249.41850432,"NA","N",9976.740172,249.41850432,"Missing Asset ID","Missing Asset ID",0,0.0250000000020047,0.0250000000020047
"25960842","NA","A",0,3.669852938,0,0.110547854,"NA","N",3.669852938,0.110547854,"Missing Asset ID","Missing Asset ID",0,0.0301232381426833,0.0301232381426833
"25960856","NA","AA",0,5.511622495,0,0.096646126,"NA","N",5.511622495,0.096646126,"Missing Asset ID","Missing Asset ID",0,0.0175349683487348,0.0175349683487348
"25960897","NA","BBB",0,7.42171153,0,0.450068031,"NA","N",7.42171153,0.450068031,"Missing Asset ID","Missing Asset ID",0,0.0606420808974773,0.0606420808974773
"25960968","NA","NR",0,237.43997893,0,7.123199369,"NA","N",237.43997893,7.123199369,"Missing Asset ID","Missing Asset ID",0,0.0300000000046328,0.0300000000046328
"25961069","NA","BBB",0,55.74635669,0,1.479975841,"NA","N",55.74635669,1.479975841,"Missing Asset ID","Missing Asset ID",0,0.0265483868162004,0.0265483868162004
"25961100","NA","NR",0,9.131709695,0,0.627855809,"NA","N",9.131709695,0.627855809,"Missing Asset ID","Missing Asset ID",0,0.0687555594702904,0.0687555594702904
"25961113","NA","BBB",0,6338.040022,0,436.5269766,"NA","N",6338.040022,436.5269766,"Missing Asset ID","Missing Asset ID",0,0.0688741275038922,0.0688741275038922
"26192870","NA","AA",0,43.66470334,0,1.49603191,"NA","N",43.66470334,1.49603191,"Missing Asset ID","Missing Asset ID",0,0.0342618132167527,0.0342618132167527
"506717","AA","AA",1398188.171,1388247.528,84997.53113,82607.40356,"N","N",-9940.64300000016,-2390.12757,"No Change in Rating","No Change in LT_Flag",0.0607911959870243,0.0595048086842334,-0.00128638730279083
"813975","AA","AA",12.708738252,12.9583055,0.114378644,0.11662475,"N","N",0.249567248,0.002246106,"No Change in Rating","No Change in LT_Flag",0.00899999997891215,0.00900000003858529,5.96731448976318e-11
"9443127","AA","AA",43.49346149,44.31558869,0.391441154,0.398840298,"N","N",0.822127199999997,0.00739914399999997,"No Change in Rating","No Change in LT_Flag",0.00900000001356526,0.00899999999526126,-1.83039972068144e-11
"12077023","AAA","NA",2.842800864,0,0.019899606,0,"N","NA",-2.842800864,-0.019899606,"Missing Asset ID","Missing Asset ID",0.00699999998311524,0,-0.00699999998311524
"15638340","AAA","NA",347.5502098,0,2.432851469,0,"N","NA",-347.5502098,-2.432851469,"Missing Asset ID","Missing Asset ID",0.00700000000115091,0,-0.00700000000115091
"15653146","AAA","NA",417.0602521,0,2.919421765,0,"N","NA",-417.0602521,-2.919421765,"Missing Asset ID","Missing Asset ID",0.00700000000071932,0,-0.00700000000071932
"15802732","AA","NA",623.5576827,0,5.612019144,0,"N","NA",-623.5576827,-5.612019144,"Missing Asset ID","Missing Asset ID",0.00899999999951889,0,-0.00899999999951889
"15831633","AAA","NA",138.97552079,0,0.972828646,0,"N","NA",-138.97552079,-0.972828646,"Missing Asset ID","Missing Asset ID",0.00700000000338189,0,-0.00700000000338189
"16168539","AA","NA",3.201019255,0,0.028809174,0,"N","NA",-3.201019255,-0.028809174,"Missing Asset ID","Missing Asset ID",0.00900000022024235,0,-0.00900000022024235
