"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"1043463","AAA","AAA",6696344.398,6529615.105,0,0,"N","N",-166729.293,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"147343","A","A",5883217.773,5902463.989,0,0,"N","N",19246.216,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"147347","AA","AA",707052.1545,706323.7,0,0,"N","N",-728.454499999993,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"147412","AAA","AAA",580554.8096,579506.8359,0,0,"N","N",-1047.97370000009,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"155342","AA","AA",4042799.988,4037999.878,0,0,"N","N",-4800.10999999987,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"1753192","AA","AA",4085880.127,4083800.049,0,0,"N","N",-2080.07799999975,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2265534","AA","AA",1690645.142,1686757.507,0,0,"N","N",-3887.63500000001,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2319641","AA","AA",2841120.071,2839410.095,0,0,"N","N",-1709.97599999979,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2321380","AAA","AAA",6318078.236,6298585.139,0,0,"N","N",-19493.0969999991,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2373826","AA","AA",6033900.146,6029820.099,0,0,"N","N",-4080.04699999932,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2402964","AA","AA",2957340.088,2948250.046,0,0,"N","N",-9090.0419999999,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2402965","AA","AA",3882760.01,3871799.927,0,0,"N","N",-10960.0829999996,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2402966","AA","AA",3823359.985,3833479.919,0,0,"N","N",10119.9340000004,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"2402967","AA","AA",934800.0336,931900.0244,0,0,"N","N",-2900.00919999997,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"24394854","AAA","AAA",0.519593542,0.461465593,0,0,"N","N",-0.058127949,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"24395192","AA","AA",11.66892813,20.657501769,0,0,"N","N",8.988573639,0,"No Change in Rating","No Change in LT_Flag",0,0,0
