"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"16973990","AA","AA",3545.179292818,3353.90056,38.996972213,36.89290616,"N","N",-191.278732818,-2.104066053,"No Change in Rating","No Change in LT_Flag",0.010999999997744,0.011,2.25602175829565e-12
"22281184","AAA","AAA",882.45538478,854.6081949,10.230068158,9.400690144,"N","N",-27.84718988,-0.829378014,"No Change in Rating","No Change in LT_Flag",0.0115927312977419,0.011000000000117,-0.000592731297624913
"24395316","AA","AA",435.142505434,412.4956422,4.78656755958,4.537452064,"N","N",-22.646863234,-0.24911549558,"No Change in Rating","No Change in LT_Flag",0.0109999999995542,0.0109999999995151,-3.90226045920983e-14
"24748907","NA","NR",0,7.564532183,0,0,"NA","N",7.564532183,0,"Missing Asset ID","Missing Asset ID",0,0,0
"640472","AA","AA",2093829.803,2090434.57,0,0,"N","N",-3395.23300000001,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"21347663","BB","NA",6.740524226,0,0,0,"N","NA",-6.740524226,0,"Missing Asset ID","Missing Asset ID",0,0,0
"22623379","BB","NA",11252.81293,0,0,0,"N","NA",-11252.81293,0,"Missing Asset ID","Missing Asset ID",0,0,0
"23914620","AA","NA",784.010173248,0,8.624111905,0,"N","NA",-784.010173248,-8.624111905,"Missing Asset ID","Missing Asset ID",0.0109999999990714,0,-0.0109999999990714
"24395117","AA","NA",136.138263683,0,1.4975209,0,"N","NA",-136.138263683,-1.4975209,"Missing Asset ID","Missing Asset ID",0.0109999999962318,0,-0.0109999999962318
