"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"22281184","KOMMUNINVEST I SVERIGE REGS FIX 0.125% 20.07.2022_22281184","AAA","AAA",854.6081949,623.9078987,9.400690144,6.862986885,"N","N",-230.7002962,-2.537703259,"No Change in Rating","No Change in LT_Flag",0.011000000000117,0.010999999998878,-1.23897420101216e-12
"24395316","LU0003 ERSTE ABWICKLUNGSANSTALT AX4142854_IE00B67B7N93_USD LU0003_LXEUR_24395316_LU0003_LU0003_LXEUR","AA","AA",412.4956422,413.7673714,4.537452064,4.551441085,"N","N",1.27172919999998,0.0139890210000004,"No Change in Rating","No Change in LT_Flag",0.0109999999995151,0.0109999999990333,-4.81871487156837e-13
"24748907","LU0003 GEMEINSAME NRW KOMMUNEN EK9464810_IE00B5ZR2157_EUR LU0003_LXEUR_24748907_LU0003_LU0003_LXEUR","NR","NR",7.564532183,7.709001181,0,0,"N","N",0.144468998,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"26192936","LU0003 KOMMUNINVEST I SVERIGE BJ0671583_IE00BDQZ6S97_USD LU0003_LXEUR_26192936_LU0003_LU0003_LXEUR","NA","AAA",0,500.7182899,0,5.507901188,"NA","N",500.7182899,5.507901188,"Missing Asset ID","Missing Asset ID",0,0.0109999999982026,0.0109999999982026
"26193046","LU0003 NRW.BANK AQ9346794_IE00BDQZ6S97_USD LU0003_LXEUR_26193046_LU0003_LU0003_LXEUR","NA","AA",0,5390.47705,0,59.29524755,"NA","N",5390.47705,59.29524755,"Missing Asset ID","Missing Asset ID",0,0.011,0.011
"640472","LAND BERLIN 226 FIX 4.250% 25.04.2022_640472","AA","AA",2090434.57,2088079.224,0,0,"N","N",-2355.34600000014,0,"No Change in Rating","No Change in LT_Flag",0,0,0
"16973990","NRW.BANK EMTN VAR 01.02.2022_16973990","AA","NA",3353.90056,0,36.89290616,0,"N","NA",-3353.90056,-36.89290616,"Missing Asset ID","Missing Asset ID",0.011,0,-0.011
