"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"14111069","LU0003 FHR 4579 SD CMO FIX 1.886% 15.01.2038 LU0003_LXEUR_14111069_LU0003_LU0003_LXEUR","AAA","AAA",59.43514805,57.5713981,21.510724618,20.56482617,"N","N",-1.86374995,-0.945898448000001,"No Change in Rating","No Change in LT_Flag",0.361919256933692,0.357205606406838,-0.00471365052685413
"14111070","FHR 4579 FD CMO VAR 15.01.2038_14111070","AAA","AAA",8197.621797,9298.470016,1024.7027246,1162.3087521,"N","N",1100.848219,137.6060275,"No Change in Rating","No Change in LT_Flag",0.12499999999695,0.125000000010754,1.38041106323428e-11
"14236674","DBCG 2017-BBG A MBS VAR 15.06.2034_14236674","AAA","AAA",13945.604443,15496.504112,1743.2005555,1937.0630144,"N","N",1550.899669,193.8624589,"No Change in Rating","No Change in LT_Flag",0.125000000008963,0.125000000025812,1.68488833995895e-11
"14496201","LU0003 VENTR 2014-17A ARR CDO VAR 15.04.2027 LU0003_LXEUR_14496201_LU0003_LU0003_LXEUR","AAA","AAA",2295.3982694,2672.6326639,286.9247837,334.079083,"N","N",377.2343945,47.1542993,"No Change in Rating","No Change in LT_Flag",0.125000000010891,0.125000000004677,-6.21427909131e-12
"14504614","WFCM 2017-HSDB A MBS VAR 13.12.2031_14504614","AAA","AAA",791.6927487,805.4847113,98.96159359,100.6855889,"N","N",13.7919625999999,1.72399530999999,"No Change in Rating","No Change in LT_Flag",0.125000000003158,0.124999999984481,-1.86763798870615e-11
"14504617","SLCLT 2005-3 A3 ABS VAR 15.06.2029_14504617","AAA","AAA",1478.6776778,1333.6070561,184.83470975,166.70088205,"N","N",-145.0706217,-18.1338277,"No Change in Rating","No Change in LT_Flag",0.125000000016907,0.125000000028119,1.12122255924163e-11
"14504618","FHR 3876 DF CMO VAR 15.06.2041_14504618","AAA","AAA",1554.9666482,1485.1911376,194.37083103,185.64889215,"N","N",-69.7755106,-8.72193888000001,"No Change in Rating","No Change in LT_Flag",0.125000000003216,0.124999999966334,-3.68812202999891e-11
"14504624","SMB 2017-A A2B ABS VAR 15.09.2034_14504624","AAA","AAA",1039.3240535,981.3696263,129.91550669,122.67120329,"N","N",-57.9544271999999,-7.24430340000001,"No Change in Rating","No Change in LT_Flag",0.125000000002405,0.125000000002547,1.42025280425173e-13
"14504625","SMB 2016-C A2B ABS VAR 15.09.2034_14504625","AAA","AAA",759.1470051,712.2903517,94.89337564,89.03629396,"N","N",-46.8566534,-5.85708168000001,"No Change in Rating","No Change in LT_Flag",0.125000000003293,0.12499999999649,-6.80297485011749e-12
"14504626","LU0003 SLMA 2003-10A A3 ABS VAR 15.12.2027 LU0003_LXEUR_14504626_LU0003_LU0003_LXEUR","AAA","AAA",447.3812272,352.6699961,55.92265339,44.08374952,"N","N",-94.7112311,-11.83890387,"No Change in Rating","No Change in LT_Flag",0.124999999977648,0.125000000021266,4.36186226027147e-11
"14504632","SOFI 2016-F A1 ABS VAR 25.02.2040_14504632","AAA","AAA",58.3691243,55.16824742,7.296140537,6.896030928,"N","N",-3.20087688,-0.400109608999999,"No Change in Rating","No Change in LT_Flag",0.124999999991434,0.125000000009063,1.76293701859009e-11
"14504636","CBSLT 2017-AGS A2 ABS VAR 25.05.2041_14504636","AAA","AAA",62.13703354,58.38369869,7.767129193,7.297962336,"N","N",-3.75333484999999,-0.469166856999999,"No Change in Rating","No Change in LT_Flag",0.125000000008047,0.124999999995718,-1.23287491327062e-11
"14504641","SOFI 2016-E A1 ABS VAR 25.07.2039_14504641","AAA","AAA",10.439113207,8.051322384,1.304889151,1.006415299,"N","N",-2.387790823,-0.298473852,"No Change in Rating","No Change in LT_Flag",0.125000000011974,0.125000000124203,1.12228976112405e-10
"14504643","NSLT 2016-1A A ABS VAR 25.09.2065_14504643","AAA","AAA",1717.5701251,1662.1140953,214.69626561,207.76426189,"N","N",-55.4560298000001,-6.93200372000001,"No Change in Rating","No Change in LT_Flag",0.124999999983989,0.124999999986463,2.47400711028689e-12
"14504645","PHEAA 2016-2A A ABS VAR 25.11.2065_14504645","AA","AA",787.927409,762.2399775,105.58227281,102.14015699,"N","N",-25.6874314999999,-3.44211581999998,"No Change in Rating","No Change in LT_Flag",0.134000000005077,0.13400000000656,1.48300816071867e-12
"14504648","FNR 2007-109 GF CMO VAR 25.12.2037_14504648","AAA","AAA",151.7485464,147.18501415,18.968568297,18.398126762,"N","N",-4.56353225000001,-0.570441534999997,"No Change in Rating","No Change in LT_Flag",0.12499999998023,0.124999999954139,-2.60910737459596e-11
