"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"22554243","SASC 2007-BC1 A4 MBS VAR 25.02.2037_22554243","A","A",333.7120961,287.23366582,5.339393536,4.595738654,"N","N",-46.47843028,-0.743654882,"No Change in Rating","No Change in LT_Flag",0.0159999999952055,0.0160000000030637,7.85825571281151e-12
"22554288","FINA 2004-2 M1 MBS VAR 25.08.2034_22554288","BBB","BBB",244.0911185,294.77186892,6.834551318,8.25361233,"N","N",50.68075042,1.419061012,"No Change in Rating","No Change in LT_Flag",0.028,0.0280000000008142,8.14192463449714e-13
"22554298","FG G08831 MBS FIX 4.000% 01.08.2048_22554298","AAA","AAA",877.1702345,885.596409,18.918228558,22.28709274,"N","N",8.4261745,3.368864182,"No Change in Rating","No Change in LT_Flag",0.0215673398548272,0.0251661959257109,0.00359885607088366
"22554345","FN AL7090 MBS VAR 01.10.2037_22554345","AAA","AAA",44.33894364,49.1264949,0.443389436,0.491264949,"N","N",4.78755126,0.0478755129999999,"No Change in Rating","No Change in LT_Flag",0.00999999999097859,0.01,9.0214138243061e-12
"22554529","LBMLT 2005-2 M5 MBS VAR 25.04.2035_22554529","NA","BBB",0,774.1890552,0,21.677293546,"NA","N",774.1890552,21.677293546,"Missing Asset ID","Missing Asset ID",0,0.0280000000005167,0.0280000000005167
"22554568","SAIL 2004-8 A1 MBS VAR 25.09.2034_22554568","AA","AA",531.3743262,645.0338979,6.376491914,7.740406775,"N","N",113.6595717,1.363914861,"No Change in Rating","No Change in LT_Flag",0.0119999999992472,0.0120000000003101,1.06282690981452e-12
"22554600","MCMLT 2017-2 A1 MBS FIX 2.750% 25.07.2059_22554600","AAA","AAA",432.5220776,428.1553914,14.087117562,17.125981323,"N","N",-4.3666862,3.038863761,"No Change in Rating","No Change in LT_Flag",0.0325697075168216,0.0399994526916986,0.00742974517487704
"22623659","INABS 2006-B 2A3 MBS VAR 25.06.2036_22623659","NA","BBB",0,307.56349743,0,8.611777928,"NA","N",307.56349743,8.611777928,"Missing Asset ID","Missing Asset ID",0,0.0279999999998699,0.0279999999998699
"4122074","LU0003 BSABS 2006-SD2 M1 MBS VAR 25.06.2036 LU0003_LXEUR_4122074_LU0003_LU0003_LXEUR","A","A",193.24005507,136.45538267,3.091840882,2.183286123,"N","N",-56.7846724,-0.908554759,"No Change in Rating","No Change in LT_Flag",0.0160000000045539,0.016000000002052,-2.50196738327269e-12
"4165718","LU0003 PPSI 2005-WHQ1 M4 ABS FLOAT 25.03.35 LU0003_LXEUR_4165718_LU0003_LU0003_LXEUR","A","A",280.25457015,138.22685814,4.484073122,2.211629731,"N","N",-142.02771201,-2.272443391,"No Change in Rating","No Change in LT_Flag",0.0159999999985727,0.0160000000054982,6.92548449143793e-12
"4172301","FFML 2005-FF9 A4 MBS VAR 25.10.2035_4172301","BBB","A",597.6109306,519.9537034,16.733106054,8.319259254,"N","N",-77.6572272000001,-8.4138468,"Change in Rating","No Change in LT_Flag",0.0279999999953147,0.0159999999992307,-0.011999999996084
"4172303","LXS 2005-4 1A3 MBS VAR 25.10.2035_4172303","AA","AA",178.75350673,186.10300178,2.145042081,2.233236021,"N","N",7.34949505,0.0881939399999996,"No Change in Rating","No Change in LT_Flag",0.0120000000013426,0.0119999999980656,-3.27704703650955e-12
"4279957","GEWMC 2005-2 A2C MBS VAR 25.12.2035_4279957","A","A",70.66146479,25.585668807,1.130583437,0.409370701,"N","N",-45.075795983,-0.721212736,"No Change in Rating","No Change in LT_Flag",0.0160000000050947,0.0160000000034394,-1.65529048801183e-12
"4370375","LU0003 JPMAC 2007-CH5 A5 MBS VAR 25.06.2037 LU0003_LXEUR_4370375_LU0003_LU0003_LXEUR","AA","AA",999.6623224,919.8682413,11.995947868,11.038418896,"N","N",-79.7940811,-0.957528972,"No Change in Rating","No Change in LT_Flag",0.0119999999991997,0.0120000000004348,1.23511270655463e-12
"4455214","LU0003 RAAC 2006-SP3 M1 MBS VAR 25.08.2036 LU0003_LXEUR_4455214_LU0003_LU0003_LXEUR","AA","AA",246.06651079,167.14785912,2.95279813,2.005774309,"N","N",-78.91865167,-0.947023821,"No Change in Rating","No Change in LT_Flag",0.0120000000021133,0.0119999999973676,-4.74565005348371e-12
"4766563","LU0003 AMSI 2005-R3 M4 MBS VAR 25.05.2035 LU0003_LXEUR_4766563_LU0003_LU0003_LXEUR","A","A",1743.7827316,1918.5623482,27.900523701,30.696997583,"N","N",174.7796166,2.796473882,"No Change in Rating","No Change in LT_Flag",0.0159999999973621,0.0160000000061504,8.78837974616076e-12
